,Drill Running Load,Total Weekly Running Load,Running 7 Day Load,Running 28 Day Load,Full%,AvgWellScore,month
0,51.36666666666667,78.36666666666666,1093.4666666666667,1191.2,0.9473684210526315,27.258870631647472,1
1,21.214285714285715,131.07142857142858,1092.0357142857142,1144.7857142857142,0.9473684210526315,27.063021475835484,1
2,37.12,50.04,1391.44,1334.28,0.8947368421052632,30.69230769,1
3,30.346153846153847,109.65384615384616,1201.8846153846155,1233.1538461538462,0.8947368421052632,27.35714286,1
4,44.458333333333336,189.20833333333334,1124.6666666666667,1235.9166666666667,0.8947368421052632,29.0,1
5,40.92307692307692,250.3846153846154,1209.6923076923076,1267.0,0.8947368421052632,26.95979409312241,1
6,82.66666666666667,223.66666666666666,1004.3333333333334,1048.6666666666667,0.9464178351999941,26.66624721304935,10
7,31.666666666666668,31.666666666666668,957.25,932.5833333333334,0.9463136647007214,27.025031730372405,10
8,21.181818181818183,52.18181818181818,798.1818181818181,931.6363636363636,0.9462089535144117,26.824655822327937,10
9,43.36363636363637,92.36363636363636,887.6363636363636,973.4545454545455,1.0,26.839481481433804,10
10,19.615384615384617,103.46153846153847,850.8461538461538,895.5384615384615,1.0,26.69875886379927,10
11,23.658536585365855,153.1951219512195,705.6585365853658,816.9024390243902,0.94568422755999,26.365479414689858,10
12,73.58823529411765,109.3529411764706,1073.1176470588234,1292.3529411764705,1.0,27.255281365832822,11
13,51.0,293.22727272727275,1160.6818181818182,1226.9545454545455,1.0,28.46666667,11
14,39.857142857142854,379.64285714285717,1106.0,1231.857142857143,1.0,25.85714286,11
15,38.0,174.44444444444446,1222.111111111111,1337.5555555555557,1.0,27.239789327059995,11
16,40.8,209.9,1138.65,1293.2,1.0,27.030482259768284,11
17,40.9,278.3,1245.4,1283.5,1.0,26.930278726157727,11
18,28.869565217391305,31.347826086956523,1116.3478260869565,1239.1304347826087,1.0,27.443147532084613,11
19,95.0,201.34782608695653,1214.2173913043478,1245.0869565217392,1.0,27.093884337706285,11
20,38.4,88.8,568.4,857.8,0.9470489099541044,26.460741156519465,12
21,25.176470588235293,120.58823529411765,529.7647058823529,823.1176470588235,0.9464434652371179,26.304743555318115,12
22,24.333333333333332,185.22222222222223,578.5925925925926,784.8148148148148,0.9457653064207585,26.137404602083958,12
23,47.074074074074076,214.96296296296296,1069.0740740740741,1188.1851851851852,0.9452273217644943,26.6875,1
24,42.857142857142854,433.04761904761904,911.952380952381,1147.4285714285713,0.9439987559370641,24.6,3
25,56.35294117647059,245.23529411764707,1438.0588235294117,1104.7058823529412,0.9440435491101136,28.33333333,5
26,24.285714285714285,29.761904761904763,1229.7619047619048,888.0952380952381,0.9444444444444444,27.6,12
27,28.857142857142858,261.42857142857144,1035.357142857143,1149.5714285714287,0.9473684210526315,26.35714286,1
28,54.25925925925926,86.22222222222223,1130.1851851851852,951.4074074074074,0.8947368421052632,30.0,2
29,31.666666666666668,31.666666666666668,926.3333333333334,1111.0,0.9473317899169758,22.55555556,3
30,48.088235294117645,284.79411764705884,1319.4117647058824,1445.5,0.8421052631578947,26.64285714,4
31,60.92857142857143,60.92857142857143,1273.142857142857,1349.7142857142858,1.0,25.16666667,10
32,37.42857142857143,73.85714285714286,1331.2142857142858,945.1428571428571,0.9452809510260048,26.94444444,12
33,22.26086956521739,138.7391304347826,1141.2173913043478,907.2173913043479,0.9442746168328922,29.0,2
34,32.0,32.0,747.5,886.5,0.9474610416972246,23.5,3
35,63.0,362.4736842105263,1363.6315789473683,1470.1052631578948,0.8421052631578947,27.91666667,4
36,76.84615384615384,133.3846153846154,1256.3846153846155,1217.5384615384614,1.0,26.625,10
37,36.23076923076923,112.84615384615384,1319.6153846153845,969.7692307692307,0.9444444444444444,24.33333333,12
38,59.705882352941174,59.705882352941174,1523.0588235294117,1127.9411764705883,0.9455176284433536,28.375,5
39,28.153846153846153,28.153846153846153,1087.6153846153845,1204.7692307692307,1.0,26.71428571,11
40,34.333333333333336,34.333333333333336,1063.1666666666667,1169.3333333333333,0.9463680605217425,26.46153846,1
41,47.67857142857143,189.25,1041.6785714285713,932.6428571428571,0.9455607088118283,25.75,2
42,38.0,57.8,960.1333333333333,1094.9333333333334,0.9473684210526315,29.17647059,3
43,62.8235294117647,122.52941176470588,1421.764705882353,1134.0588235294117,0.9460126046822568,24.8,5
44,52.0,86.33333333333333,1176.6666666666667,1165.0,0.9460968415579077,27.25,1
45,21.636363636363637,255.0909090909091,1178.4545454545455,970.1818181818181,0.9473684210526315,26.0,2
46,60.1764705882353,114.23529411764706,1163.8235294117646,1152.1176470588234,0.9473684210526315,27.0,3
47,43.47222222222222,62.25,1250.6944444444443,1462.5277777777778,0.8421052631578947,29.6,4
48,76.46428571428571,109.39285714285714,1570.25,1124.4642857142858,1.0,28.11111111,10
49,35.94117647058823,133.94117647058823,1191.6470588235295,1445.235294117647,0.9452788003686081,27.28571429,4
50,49.294117647058826,171.8235294117647,1289.5882352941176,1124.7058823529412,0.9452786892733456,25.75,5
51,36.0,178.73333333333332,1542.0,1144.6,0.9453405644015176,19.63636364,10
52,33.30769230769231,61.46153846153846,1089.1538461538462,1198.923076923077,1.0,27.14285714,11
53,43.48148148148148,195.1851851851852,1051.7777777777778,796.3333333333334,0.9451197189647693,26.544790757237536,2
54,28.642857142857142,247.5,1093.5714285714287,837.7857142857143,0.9473684210526315,26.4725405053212,2
55,51.46153846153846,79.23076923076923,1008.7692307692307,754.2692307692307,0.9473684210526315,26.786119345931724,2
